Class,Order,NCBI Acc. Num,Species ,,,,,,,,,,,,,,,
Calcarea,Leucosolenida ,>MH385201,Sycon abyssale,,,,,,,,,,,,,,,
,,>AM180970,Sycon capricorn,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Homoscleromorpha,Homosclerophorida,>AY348884,Plakortis simplex,,,,,,,,,,,,,,,
,,>KX668498,Plakortis symbiotica,,,,,,,,,,,,,,,
,,>EU702423,Plakortis angulospiculatus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hexactinellida,Sceptrulophora,>FM946127,Aphrocallistes beatrix,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Lyssacinosida,>AM886386,Nodastrella asconemaoida,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Demospongiae,,>KC902241,Demospongiae sp,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Bubarida,>GQ466052,Acanthella acuta,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Axinellida ,>AY737637,Axinella corrugata,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Chondrillida,>EU702413,Chondrilla nucula,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Chondrisidae,>FR819689,Chondrosia reniformis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Spongilida,>DQ167158,Ephydatia fluviatilis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Dictyoceratida,>AJ703888,Ircinia felix,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Haplosclerida,>DQ927322,Aka mucosum,,,,,,,,,,,,,,,
,,>MZ416647,Amphimedon complanata,,,,,,,,,,,,,,,
,,>EU702409,Amphimedon compressa,,,,,,,,,,,,,,,
,,>MZ416302,Amphimedon compressa,,,,,,,,,,,,,,,
,,>MZ416420,Amphimedon compressa,,,,,,,,,,,,,,,
,,>MZ416549,Amphimedon compressa,,,,,,,,,,,,,,,
,,>EF654521,Amphimedon queenslandica,,,,,,,,,,,,,,,
,,>MZ416284,Callyspongia fallax,,,,,,,,,,,,,,,
,,>MZ416263,Callyspongia plicifera,,,,,,,,,,,,,,,
,,>MZ416283,Callyspongia plicifera,,,,,,,,,,,,,,,
,,>MZ416292,Callyspongia plicifera,,,,,,,,,,,,,,,
,,>MZ416617,Callyspongia sp,,,,,,,,,,,,,,,
,,>MZ416342,Callyspongia tenerrima,,,,,,,,,,,,,,,
,,>KX622154,Calyx nicaeensis,,,,,,,,,,,,,,,
,,>AY734447,Calyx podatypa,,,,,,,,,,,,,,,
,,>JX945624,Calyx podatypa,,,,,,,,,,,,,,,
,,>DQ927313,Calyx sp,,,,,,,,,,,,,,,
,,>MZ416414,Chalinula loosanoffi,,,,,,,,,,,,,,,
,,>MZ416416,Chalinula loosanoffi,,,,,,,,,,,,,,,
,,>MZ416525,Chalinula zeae,,,,,,,,,,,,,,,
,,>MZ416634,Chalinula zeae,,,,,,,,,,,,,,,
,,>DQ927316,Dasychalina fragilis,,,,,,,,,,,,,,,
,,>KC902300,Dasychalina melior,,,,,,,,,,,,,,,
,,>DQ927308,Cribochalina vasculum,,,,,,,,,,,,,,,
,,>MZ416296,Cribrochalina vasculum,,,,,,,,,,,,,,,
,,>MZ416329,Cribrochalina vasculum,,,,,,,,,,,,,,,
,,>MZ416301,Cribrochalina vasculum,,,,,,,,,,,,,,,
,,>KX894467,Haliclona amboinensis,,,,,,,,,,,,,,,
,,>AJ703887,Haliclona amphioxa,,,,,,,,,,,,,,,
,,>MZ416630,Haliclona cinerea,,,,,,,,,,,,,,,
,,>KX894472,Haliclona fascigera,,,,,,,,,,,,,,,
,,>AY348879,Haliclona mediterranea,,,,,,,,,,,,,,,
,,>KC902016,Haliclona mucifibrosa,,,,,,,,,,,,,,,
,,>MZ416351,Haliclona oculata,,,,,,,,,,,,,,,
,,>KX668499,Haliclona plakophila,,,,,,,,,,,,,,,
,,>AY734444,Haliclona sp,,,,,,,,,,,,,,,
,,>AJ703889,Haliclona sp,,,,,,,,,,,,,,,
,,>EU095523,Haliclona sp,,,,,,,,,,,,,,,
,,>MZ416309,Haliclona tubifera,,,,,,,,,,,,,,,
,,>MZ416319,Haliclona twincayensis,,,,,,,,,,,,,,,
,,>KC902323,Haliclona vansoesti,,,,,,,,,,,,,,,
,,>KC902017,Haliclona walentinae,,,,,,,,,,,,,,,
,,>MZ416642,Haplosclerida sp,,,,,,,,,,,,,,,
,,>MZ416678,Haplosclerida sp,,,,,,,,,,,,,,,
,,>MZ416683,Haplosclerida sp,,,,,,,,,,,,,,,
,,>MZ416681,Haplosclerida sp,,,,,,,,,,,,,,,
,,>MZ416677,Haplosclerida sp,,,,,,,,,,,,,,,
,,>MZ416327,Haplosclerida sp,,,,,,,,,,,,,,,
,,>KC902186,Janulum spinispiculum,,,,,,,,,,,,,,,
,,>KC901937,Neopetrosia carbonaria,,,,,,,,,,,,,,,
,,>KC902252,Neopetrosia proxima,,,,,,,,,,,,,,,
,,>KC902334,Neopetrosia rosariensis,,,,,,,,,,,,,,,
,,>MK101136,Neopetrosia sigmafera,,,,,,,,,,,,,,,
,,>MZ416651,Neopetrosia sp,,,,,,,,,,,,,,,
,,>MZ416653,Neopetrosia sp,,,,,,,,,,,,,,,
,,>MZ416654,Neopetrosia sp,,,,,,,,,,,,,,,
,,>MZ416685,Neopetrosia sp,,,,,,,,,,,,,,,
,,>MZ416274,Neopetrosia subtriangularis,,,,,,,,,,,,,,,
,,>MZ416341,Neopetrosia subtriangularis,,,,,,,,,,,,,,,
,,>MZ416376,Niphates amorpha,,,,,,,,,,,,,,,
,,>MZ416622,Niphates sp,,,,,,,,,,,,,,,
,,>MZ416512,Oceanapia bartschi,,,,,,,,,,,,,,,
,,>MZ416513,Oceanapia bartschi,,,,,,,,,,,,,,,
,,>MZ416514,Oceanapia bartschi,,,,,,,,,,,,,,,
,,>KC902171,Oceanapia isodictyiformis,,,,,,,,,,,,,,,
,,>KC901920,Oceanapia sp,,,,,,,,,,,,,,,
,,>DQ927317,Oceanapia sp,,,,,,,,,,,,,,,
,,>DQ927317,Oceanapia sp,,,,,,,,,,,,,,,
,,>MZ416574,Pachychalina tenera,,,,,,,,,,,,,,,
,,>KC901970,Petrosia lignosa,,,,,,,,,,,,,,,
,,>MZ416718,Petrosia pellasarca,,,,,,,,,,,,,,,
,,>MZ416436,Petrosia pellasarca,,,,,,,,,,,,,,,
,,>MZ416492,Petrosia pellasarca,,,,,,,,,,,,,,,
,,>KC902222,Petrosia strongylata,,,,,,,,,,,,,,,
,,>MZ416379,Petrosia weinbergi,,,,,,,,,,,,,,,
,,>MZ416523,Petrosia weinbergi,,,,,,,,,,,,,,,
,,>MZ416380,Petrosia weinbergi,,,,,,,,,,,,,,,
,,>MZ416534,Siphonodictyon brevitubulatum,,,,,,,,,,,,,,,
,,>MZ416495,Siphonodictyon brevitubulatum,,,,,,,,,,,,,,,
,,>KC902084,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>KC902084,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416300,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416306,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416496,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416497,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416498,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416499,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416295,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416295,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416307,Siphonodictyon coralliphagum,,,,,,,,,,,,,,,
,,>MZ416286,Siphonodictyon xamaycaense,,,,,,,,,,,,,,,
,,>MZ416286,Siphonodictyon xamaycaense,,,,,,,,,,,,,,,
,,>MZ416287,Siphonodictyon xamaycaense,,,,,,,,,,,,,,,
,,>MZ416285,Siphonodictyon xamaycaense,,,,,,,,,,,,,,,
,,>MZ416288,Siphonodictyon xamaycaense,,,,,,,,,,,,,,,
,,>MZ416272,Siphonodictyon xamaycaense,,,,,,,,,,,,,,,
,,>KC902039,Xestospongia bocatorensis,,,,,,,,,,,,,,,
,,>KX668500,Xestospongia deweerdtae,,,,,,,,,,,,,,,
,,>AY621510,Xestospongia muta,,,,,,,,,,,,,,,
,,>MZ416316,Xestospongia muta,,,,,,,,,,,,,,,
,,>KC902312,Xestospongia sp,,,,,,,,,,,,,,,
,,>KP081740,Xestospongia sp.,,,,,,,,,,,,,,,
